song_id,entry_date,exit_date,peak_position,days_on_playlist,peak_date,is_explicit,album_type,entry_to_peak_days,lifetime_days
brindis_duki,2025-11-03,2025-11-07,30,3,2025-11-03,True,album,0,5
bubalu_feid,2024-09-30,2024-10-06,26,7,2024-09-30,False,album,0,7
bubalu_feid & rema,2024-09-24,2024-09-29,21,6,2024-09-25,False,single,1,6
buenas noches_quevedo,2025-11-24,2025-11-27,18,4,2025-11-24,False,album,0,4
buenas_quevedo & saiko,2024-09-24,2025-03-12,1,169,2024-09-24,False,single,0,170
buscando money_twenty six & tayson kryss,2025-02-02,2025-04-17,4,72,2025-02-15,False,single,13,75
buscarte lejos_duki,2025-11-03,2025-11-09,28,7,2025-11-06,False,album,3,7
caché_myke towers,2025-08-24,2025-08-24,47,1,2025-08-24,True,album,0,1
cafe malibú_sech & mora & saiko,2024-07-23,2024-09-19,9,59,2024-07-25,True,single,2,59
call me maybe_duki,2024-12-10,2024-12-10,50,1,2024-12-10,False,single,0,1
cangrinaje_cruz cafuné,2024-05-28,2024-05-28,48,1,2024-05-28,True,album,0,1
capri sun_b10 & kilvertz,2025-07-31,2025-08-14,34,14,2025-08-05,False,single,5,15
carita triste_ana mena & emilia,2025-09-01,2025-11-23,9,84,2025-09-07,False,single,6,84
cartera & tacos_myke towers,2024-11-25,2024-11-25,47,1,2024-11-25,True,album,0,1
casanova_soolking & lola indigo & rvfv,2024-12-10,2025-05-29,1,167,2025-01-01,False,single,22,171
caserio_yandel & saiko,2025-03-10,2025-03-10,41,1,2025-03-10,True,single,0,1
caída del cielo <3_rels b,2025-04-28,2025-05-01,38,2,2025-04-28,True,album,0,4
celine (with kidd keo)_ghost killer track & kidd keo,2025-10-03,2025-11-27,9,55,2025-10-18,False,single,15,56
cha cha cha_käärijä,2024-05-18,2024-05-20,37,3,2024-05-18,False,single,0,3
chapiadora.com_quevedo,2025-11-24,2025-11-27,8,4,2025-11-24,False,album,0,4
chihiro_billie eilish,2025-05-19,2025-05-25,39,7,2025-05-19,False,album,0,7
chorrito pa las animas_feid,2024-05-18,2024-06-14,32,28,2024-05-18,True,single,0,28
chula_jc reyes,2024-12-28,2025-01-20,49,8,2025-01-17,False,single,20,24
chulo pt.2_bad gyal & tokischa & young miko,2024-06-24,2024-10-13,22,87,2024-06-28,True,single,4,112
cine 🚬_duki,2025-11-03,2025-11-03,42,1,2025-11-03,True,album,0,1
classy 101_feid,2024-12-02,2025-01-17,16,28,2024-12-02,True,album,0,47
classy 101_feid & young miko,2024-05-18,2024-12-01,7,183,2024-05-18,True,single,0,198
clavaito_chanel & abraham mateo,2024-05-18,2025-01-04,6,153,2024-06-02,False,single,15,232
coco chanel_eladio carrion,2024-05-18,2024-09-29,16,127,2024-05-24,True,album,6,135
coco loco_maluma,2024-07-01,2024-11-26,9,113,2024-08-06,False,single,36,149
cohete_shakira,2025-03-24,2025-03-30,21,6,2025-03-24,False,album,0,7
colmillo_tainy,2024-10-19,2024-11-14,18,9,2024-11-10,True,album,22,27
columbia_quevedo,2024-07-08,2025-11-02,1,462,2024-07-09,False,single,1,483
cometa halley_saiko,2025-04-28,2025-05-05,24,8,2025-04-28,True,album,0,8
committed_rauw alejandro,2025-11-17,2025-11-17,29,1,2025-11-17,True,album,0,1
como camarón_estopa,2024-11-29,2025-02-21,32,35,2025-01-03,False,album,35,85
como suenan las estrellas_saiko,2025-04-28,2025-05-19,24,22,2025-04-30,False,album,2,22
competencia_myke towers,2025-08-24,2025-08-25,19,2,2025-08-24,True,album,0,2
comuna 3_jc reyes & the rude boyz,2025-05-16,2025-05-17,38,2,2025-05-17,False,single,1,2
comuna 3_jc reyes & the rudeboyz,2025-05-18,2025-09-17,12,120,2025-06-05,False,single,18,123
conexión_cano,2025-10-27,2025-11-14,27,14,2025-10-27,False,album,0,19
conexión_cano & jc reyes,2025-10-25,2025-10-26,40,2,2025-10-26,False,single,1,2
constelación_duki,2025-11-03,2025-11-10,26,8,2025-11-03,False,album,0,8
constelación_duki & lia kali,2025-11-01,2025-11-02,29,2,2025-11-01,False,single,0,2
contigo (with tiësto)_karol g & tiësto,2025-02-17,2025-03-24,13,34,2025-02-18,False,single,1,36
copa vacía_shakira & manuel turizo,2024-07-02,2024-07-28,16,27,2024-07-02,False,single,0,27
